open;high;low;close;volume;marketCap;timestamp
428453.2517277707;429908.6688290542;422140.6771028779;425384.870948626;369375038796.3563;8211876556363.603;"2023-03-02"
425406.0173405516;425360.7922189527;398763.2670544212;401642.6435105873;472261222564.5422;7823763332685.022;"2023-03-03"
401647.0203674642;402320.800484575;398618.2223932551;401390.1659375394;200546047157.17697;7751838746269.155;"2023-03-04"
401404.4149346406;406064.900213261;400560.4496217915;403465.7042341213;239128073311.2435;7779089312777.887;"2023-03-05"
403489.1289668122;406968.5001626677;401316.0587806232;403827.2163002101;312068541451.69824;7788994286832.511;"2023-03-06"
403801.377854683;405304.260178834;398746.7866591521;402513.3609167567;409871091012.77563;7725384057369.558;"2023-03-07"
402453.0965074117;403434.4589527864;390321.6021238517;390375.643756851;408252344718.6508;7597861876837.31;"2023-03-08"
390411.5839081564;391637.0979081682;370381.3369410886;373404.0080872545;545795273601.42914;7068883661090.388;"2023-03-09"
373477.0029739631;373538.9078516955;360101.9163860727;373316.6406022936;725760680375.1318;7149563694279.191;"2023-03-10"
373328.3543799392;384519.2965092136;371132.7454565256;381563.4042402343;558115015145.1327;7369520134322.642;"2023-03-11"
381482.3921458779;406640.5277468518;378167.9537086226;406254.1206436573;541468915504.283;7917293757022.104;"2023-03-12"
406115.8561553464;462481.6304664448;413074.5603555459;458498.1703038911;906693694898.3795;8567526884432.525;"2023-03-13"
458578.3779264196;495594.7981032288;456469.8222627534;460649.2438556562;1034989500392.4902;9057911954351.83;"2023-03-14"
461111.8464727048;477671.006455685;457177.506727968;463276.0904122727;812652759690.6271;8765985086331.947;"2023-03-15"
463228.4866884757;472351.3783842903;459476.9285738462;470469.3946250638;643639709356.2932;9198744552095.936;"2023-03-16"
470513.2156597158;525578.6804278935;468739.553485215;518704.4511915832;952669766702.8099;9949922145445.055;"2023-03-17"
519161.9244725796;524412.8418072355;503798.2395321558;510032.6497243809;675676235270.0353;9854697573664.438;"2023-03-18"
510101.1946426699;533308.302966406;508932.5456009804;528569.8470571998;714371355713.2334;10247062830100.453;"2023-03-19"
528625.0247171125;543126.5895840385;515996.2338129259;522541.652090756;844055612442.1239;10114806309473.479;"2023-03-20"
522563.400793956;530975.0045319196;516821.82914881;524397.1734933023;679394206189.5276;10246248406371.824;"2023-03-21"
524078.9737931218;530534.865843371;496528.5189060744;507954.4243238996;621293005515.4552;9821728090011.05;"2023-03-22"
507852.5025828143;531818.9943625605;504994.8080217137;526533.6149722971;450532086030.9733;10185910162469.232;"2023-03-23"
526350.3665254167;527793.4627461175;498641.9095285532;507017.4179760879;482795236207.38525;9874530499215.809;"2023-03-24"
506907.7389024054;512522.9518532533;501539.3461667683;507043.6368975546;246802704916.06204;9800256541036.242;"2023-03-25"
507058.7050760403;519647.2506388219;506127.8223543092;515976.5606285171;255937834804.50772;9978807450441.75;"2023-03-26"
515971.7391231822;517224.8989046708;489602.3224872286;497542.6035633644;335248021234.7865;9669440479092.475;"2023-03-27"
497414.2830759688;500509.7825480574;489217.8398361272;496913.2953427775;326018245294.3006;9663399583563.432;"2023-03-28"
496893.2624000213;519173.2561377354;496856.5287014115;513034.120998717;376946423357.3523;9986792184176.656;"2023-03-29"
513064.8712277059;528482.4110851747;501556.8651475587;507215.2108125419;406022309867.85223;9808173331485.174;"2023-03-30"
507191.6737601078;516641.0998330673;499772.7865680432;513096.8571405434;343793699415.65375;9961957757772.713;"2023-03-31"
513004.0190621679;518933.876389176;509830.1568900759;511881.6039577954;195961358200.55115;9897064451002.809;"2023-04-01"
