open;high;low;close;volume;marketCap;timestamp
512815.0747817069;513826.0736341469;503065.9054270855;508881.1941800114;221332394902.10834;9823696293726.746;"2023-04-02"
508588.345259788;512225.192789347;492679.780473684;502808.4659254256;352914178383.08875;9697144784905.379;"2023-04-03"
502899.8983441188;512681.7111644629;500768.6491266694;510618.4565513102;276543161567.7485;9855146765771.41;"2023-04-04"
510648.1338241878;520586.5251512743;510991.5503964974;515998.7289648504;309116710654.53973;9877884588768.574;"2023-04-05"
515948.2519690527;516006.0676478855;508320.171546553;511601.5294109849;253399681260.05362;9931577253038.055;"2023-04-06"
511507.163710842;512862.2855568178;506100.4137548947;506175.749879093;198146650349.54895;9852648694291.17;"2023-04-07"
506078.8384698003;510417.2247892123;505405.8996368656;506576.1344488313;169896818231.39682;9797603048425.775;"2023-04-08"
506659.0249270523;517345.3748128381;504413.488351213;514236.3584494006;220687468744.3224;9933213743851.838;"2023-04-09"
514290.411700382;540649.7849490459;514520.3517960155;538441.7779008367;349969776991.53204;10410092803834.273;"2023-04-10"
538454.4804062637;554383.3051207149;537716.7565641016;549472.1571929753;365363848356.4321;10619849664060.498;"2023-04-11"
549408.9627348;553838.3659971762;537356.9775510647;544545.0232061935;338967957467.7511;10595683692427.123;"2023-04-12"
540094.6928398714;550107.1999627675;539862.332738826;547839.5107820922;315963858561.4572;10625360630493.656;"2023-04-13"
548028.652883795;560860.7229669326;542553.3605794109;549071.846086906;408369140721.3247;10628892769308.55;"2023-04-14"
549162.7869957628;551161.8217510366;544752.5304218204;546060.3849222492;215061296199.23605;10564817565802.879;"2023-04-15"
546014.988044494;549610.338741414;543166.6864437934;545538.1905046529;231525527514.29578;10564177151407.594;"2023-04-16"
545570.4066862513;545530.2720832077;530271.9977082091;531061.2897113608;321617882417.09906;10252647955180.898;"2023-04-17"
531134.2764789365;549560.4779790653;525907.2722141301;548558.0363593332;351344518298.6611;10608544082990.416;"2023-04-18"
548497.3141955562;548809.2504442848;517670.2485364057;520440.04456715;443421541028.7132;10065190770805.87;"2023-04-19"
520458.1443290873;525220.6980478687;505485.0288415968;508434.6636098226;385334670977.96045;9869960846014.41;"2023-04-20"
508493.0556854956;510347.6163841135;488784.914912805;490613.4084045694;373676143256.7445;9502029600663.271;"2023-04-21"
490415.2941203883;501319.5158751458;488682.7740001015;500336.6985013529;236084712852.2285;9683359857408.67;"2023-04-22"
500312.3066971509;500386.0455115787;492833.0029787704;496645.6959330646;229964160899.7856;9605101159043.246;"2023-04-23"
496651.9039624274;503759.4285344742;486922.9638857216;494889.0889989424;318659685636.3755;9589812205587.193;"2023-04-24"
494700.896670674;512948.6308099698;489588.2449644223;511094.6459853063;318835409018.3893;9851433683485.807;"2023-04-25"
510958.5324010504;541722.2635074641;496079.0999319162;516195.3007444741;575129422706.13;9933524972461.465;"2023-04-26"
516299.9720107742;538378.9722975001;515898.7705448862;531701.2079962291;493143870529.4616;10361975974894.213;"2023-04-27"
531831.587969196;533800.7191715433;520808.3153841785;528139.3950981384;316498637673.0172;10246480250491.336;"2023-04-28"
528072.8749180837;530158.9206359019;523599.3060780246;526487.4149567479;191932749309.5629;10192612082967.518;"2023-04-29"
526433.9019821227;539151.4899621975;524066.9392636641;527055.115949035;263746913000.51874;10200186463260.107;"2023-04-30"
526304.1522438343;528248.5761063907;496529.6157290309;503985.2175968332;335938851014.29846;9794237397827.45;"2023-05-01"
